Testcase Id,Scenario,End-point URL,Pre-Conditions,Test Data,Expected Output,Actual Result,Status,Comments
TC001,List all users,/api/users?page=2,None,page=2,"200 OK, JSON with user list, pagination fields",,,
TC002,Get single user,/api/users/{id},Valid user ID exists,id=2,"200 OK, JSON with user details",,,
TC003,Get single user - Not Found,/api/users/23,User ID does not exist,id=23,"404 Not Found, empty JSON",,,
TC004,Create user,/api/users,None,"{ ""name"": ""morpheus"", ""job"": ""leader"" }","201 Created, JSON with name, job, id, createdAt",,,
TC005,Update user (PUT),/api/users/2,User ID exists,"{ ""name"": ""morpheus"", ""job"": ""zion resident"" }","200 OK, JSON with updated name, job, updatedAt",,,
TC006,Update user (PATCH),/api/users/2,User ID exists,"{ ""job"": ""engineer"" }","200 OK, JSON with updated job, updatedAt",,,
TC007,Delete user,/api/users/2,User ID exists,None,"204 No Content, empty response",,,
TC008,Register user,/api/register,Valid email and password,"{ ""email"": ""eve.holt@reqres.in"", ""password"": ""pistol"" }","200 OK, JSON with id and token",,,
TC009,Register user - Missing Password,/api/register,Email provided, no password,"{ ""email"": ""sydney@fife"" }","400 Bad Request, JSON with error message ""Missing password""",,,
TC010,Login user,/api/login,Valid email and password,"{ ""email"": ""eve.holt@reqres.in"", ""password"": ""cityslicka"" }","200 OK, JSON with token",,,
TC011,Login user - Missing Password,/api/login,Email provided, no password,"{ ""email"": ""peter@klaven"" }","400 Bad Request, JSON with error message ""Missing password""",,,
TC012,List resources,/api/unknown,None,None,"200 OK, JSON with resource list, pagination fields",,,
TC013,Get single resource,/api/unknown/{id},Valid resource ID exists,id=2,"200 OK, JSON with resource details",,,
TC014,Get single resource - Not Found,/api/unknown/23,Resource ID does not exist,id=23,"404 Not Found, empty JSON",,,
TC015,Delayed response,/api/users?delay=3,None,delay=3,"200 OK, JSON with user list, response time > 3s",,,
TC016,Create user - Missing Fields,/api/users,None,"{ ""name"": """" }","400 Bad Request or validation error",,,
TC017,Update user - Invalid ID,/api/users/999,User ID does not exist,"{ ""job"": ""ghost"" }","404 Not Found or 200 OK depending on API behavior",,,
TC018,Delete user - Invalid ID,/api/users/999,User ID does not exist,None,"204 No Content or 404 Not Found",,,
